ACIDOSIS.21672245	ACTIVATEDENDOTHELIUM.23975155	AKT.20335537	ANTIOXIDANT	AR.TNBC.21633166	ASCORE.21422418	BCAT.ONCOGENE.16273092	BETACATENIN.20335537	BMYB.19043454	BRCA1.11823860	BRCA1.UP.16843262 	CCND1.12914697 	CCND1K112E.12914697 	CD44POS.CD24NEG.17229949	CIN70.16921376	CMYB.20949095	CORE.EMT. 20713713	DNADAMAGE.TNBC.21633166	E2F1.20335537	E2F3.ONCOGENE.16273092	EGFR.20335537	EIF4E.UP.17638893 	EMT.MCF10A.18281472  	EMT.TNBC.21633166	ER.20335537	ERBB2.DESMEDT.18698033	ERNEG.RESIST.21558518	ERNEG.SENS.21558518	ERPOS.RESIST.21558518	ERPOS.SENS.21558518	ESC.18397753	ESR1.DESMEDT.18698033	FIBRO.COCULTURE.21625507	FIBRO.SERUM1.14737219	FIBRO.SERUM2.14737219	FOSJUN.21214954	GATA3.15361840 	GENE70.11823860	GEPARSIXTO.ACT.25534375	GEPARSIXTO.SUPP.25534375	GF.TNBC.21633166	GGI.16478745	GLUCOSEDEPLETION.21672245	GYCOLYSIS.19291283	HER1C1.17663798	HER1C2.17663798	HER1C3.17663798	HER2.20335537	HER2AMP.21214954	HGF.24025166	HSP90.20920318	HYPOXIA.21672245	IFNA.20335537	IFNG.20335537	IGF1. 18757322	IMMUNE.ERNEG.17683518	IMMUNE.STAT1.18698033	IMMUNESIG1.TNBC.21633166	IMMUNESIG2.21633166	INVASION.PLAU.18698033	LACTICACIDOSIS.21672245	LKB1.17676035	MAMLIN.LumProg.19648928	MAMLIN.MaSC.19648928	MAMLIN.MatLum.19648928	MAMLIN.STROMAL.19648928	MAPK.16585219	MCF7.DOXRESIST.20935265	MESENCHSTEM.TNBC.21633166	MET.DOWN.23049908	MYC.ONCOGENE.16273092	MYCACT.20335537	MYCSIG.19690609	NEOADJ.RESIST.16896004	P53.20335537	P53MUT.17150101	P53MUT.UP.16199517	P63.20335537	PI3K.20335537	PIK3CA.22552288	PIK3CA.MUT.20479250	PR.20335537	PROLIF.AURKA.18698033	PROLIF.TNBC.21633166	PROLIF.PCNA.22028643	PROLIFERATION.GATZA.21214954	PROLIFERATIONPAM50.19204204	PTENDEL.17452630	RANDOM.GENOME10	RANDOM.GENOME100	RANDOM.GENOME5	RANDOM.GENOME50	RANDOM.GENOME500	RANDOM.SAMPLE10	RANDOM.SAMPLE100	RANDOM.SAMPLE5	RANDOM.SAMPLE50	RANDOM.SAMPLE500	RAS.ACT.20591134	RAS.20335537	RAS.ONCOGENE.16273092	RASERK.ACT.22683778	RBBP8.UP.16843262	RBLOH.18782450	SRC.20335537	SRC.ONCOGENE.16273092	STAT1.19272155	STAT3.20335537	STAT3.15958548	STEM.TNBC.21633166	STEMCELL.15931389	STROMAL.19122658	STROMALDOWN.19648928	STROMALUP.19648928	TGFB.20335537	TGFBETA.18394990	TGFBETA.ACT.19451693	TNBC.TAXANE.20189874	TNFA.20335537	TOP2A.21422418	VEGFHYPOXIA.19291283	WNT.EMT.19549913	WNT.TNBC.21633166	WOUNDRESPONSE.19887484	YAP.UP.18413746
2202	641	1069	27232		5914		8317	79866	9702	10850	8312	403	966	990	133	51226		9134	54880	10565	784	641	7291	2203	55876	23625	8672	79065	50717	89	79602	896	10969	3992	3725		4175				55969	3475		80273	51373	55299	1087	5409	2651	4277	665	56259	23607	56894		9034	4792	6351	1281	2064	2244	165257	165	222	54	10331	1029	3490	10694	25929	204	115701	2674	54622	1033	374	3303	637	55859	10384	582	55732	5347	890	890		6790		8556		1137	108		375248		9331	10563	64866	6364	84002	79071	54831	25842				833			23326	1281	23294	27	8444	286	29995		2919	5914	9123			658	1580
10160	669	3426	2876		6605		8851	672	1282	11126	10538	440	1052	83461	55326	90993		10309	54880	94134	94032	672	6935	3169	3081	2348	2056	490	22839	93	54812	929	9521	2224	3726		83879				890	54800		54919	25902	57103	1201	5691	3783	53343	694	3627	961	226		914	4794	6352	1290	2065	2745	114897	84632	222	2182	53838	1266	4804	22918	3099	8165	10189	3487	549	1063	10124	3310	6046	84707	51806	689	54535	9055	891	891		330		1952		54918	128		328		581	391703	23529	8900	84002	2115	54836	259266				1105				1290	338440	54	1969	55738	9020		3627	6605	7345			57685	1643
2774	672	1293	2877		101340251		8208	11118	26094	947	607	6310	56994	55143	185	1490		100133941	140707	9411	9607	55299	9839	10023	3227	8225	2161	54494	117246	108	10551	962	2107	8836	10365		5984				890	81631		9684	23413	128061	1306	5709	56479	29127	901	23586	1506	1175		917	5971	6355	1291	10211	221393	718	84632	240	94	727	1277	5154	8317	90161	64682	23452	57613	563	55165	445	10808	11118	641	10486	79624	891	7272	9133	9133		54014		80254		1369	55109		80830		53335	1565	1453	898	2683	2118	348110	29028				10845				1291	306	93953	8817	94134	5155		6374	101340251	7422			827	1749
51704	84446	51379	2878		7067		1690	699	84259	915	274	8312	1153	983	202	79901		1027	140688	23204	3078	699		2625	3675	8908	54463	64897	2572	128	185	963	2171	3015	3164		23594				891	4779		55646	29078	205327	1298	5914	285505	5997	10370	55601	3627	10425		959	6772	1230	8904	2548	3229	722	55966	269	9507	93664	1284	56034	157313	3303	328	84079	11127	27077	1163	26053	9500	813	388962	824	56892	9133		991	898		9044		1277		27071	375790		375		604	3605	2919	9134	650	2119	80262	9474				1508				1293	9411	2182	2354	84159	5054		1540	7067				147372	128338
2886	701	1429	2879		84951		10675	220042	30836	1012	641	10538	163732	55165	56672	1634		1031	221545	55207	118487	808		23171	3927	22993	2280	818	2650	22850	22977	976	9415	3037	23645		6515				9133	6303		9219	57486	865	1362	6143	4522	11065	1615	23549	6373	81873		962	6775	729230	5476	2625	9953	725	55966	118932	124	824	1291	80310	55038	3310	471	8125	4137	582	1643	558	4277	10645	699	834	771	991		83461	9134		699		10814		79758	189		375		79365	23481	2920	8317	650	2353	92346	64225				6374				51226	50650	94	5045	55729	4091		23586	84951				6347	23197
2944	389336	1727	257202		7153		1786	80178	1870	64405	649	607	1213	9793	220	4921		1050	896	10092	1160	55450		55662	29095	3356	55970	23589	9527	158	214	10659	2224	3157	7538		57211				9134	23753		51537	192111	29080	1384	9349	23114	25888	55760	10468	4283	8623		969	6776	1234	1627	2664	3400	55286	11217	118932	56895	831	1396	5156	1062	3329	545	54518	9833	689	51313	563	2956	4076	116328	834	55871	990		55038	22948		29105		1374		3337	113146		1820		771	5648	2921	79577	135398	8061	100507249	483				1948				1513	7984	100	4616	60370	7133		3301	7153				942	83648
2946	84688	1808	2936		147179		29980	8900	1936	6792	653	329	4850	1164	8659	10395		79959	898	9048	152330	890		3416	93210	3691	2814	831	10042	64782	347902	64581	8836	3422			1633				22948	11231		56926	9791	151195	56253	10948	9659	84914	54583	2633	23586	440		51816	7535	1236	4921	2821	3569	794	231	91074	185	967	1490	5159	55835	79711	9532	140458	10267	10944	56204	8412	5111	9994	768	834	220869	8317		55143	991		10951		1435		51011	4329		1820		10645	4174	6374	1051	805	50628	8536	50617				1956				51339	23400	8038	3280	51272	8840		51343	147179				1019	54537
3033	55071	10682	2937				79075	890	27436	1044	762	2972	9276	55907	4329	11080		55907	9134	51665	9191	891		26128	5245	4325	2907	27440	347240	205	8416	1439	3146	3638			51514				991	6400		1482	22827	10576	54541	8557	6289		2026	2643	23549	444		50856		914	1774	54985	3693	51806	23452	91074	185	10263	1522		79019	4234	617	259266	6241	60314	23048	8915	6319	28952	79839	834	9973	55038		1033	8318		891		1540		10979	4329		400		865	54733	163259	1434	813	26354	6364	528				56929				1634	338707	6868	23462	635	7483		2627					79586	404636
3105	771	27102	2938				51514	891	8263	1103	768	762	1457	1503	501	1805		1301	9308	493	25822	10575		8825	5409	92140	23354	51397	8462	79647	323	1471	3151	3655			1284				993	23064		10528	60386	10694	9681	147179	94081		30001	2650	2115	60673		1075		940	8507	3098	5655	874	27063	11199	9590	79094	1525		8533	10514	637	515	57758	203197	2305	329	27346	9134	6347	874	1022	1033		81620	990		9133		1548		9630	4329		23204		9134	203197	1843	1488	813	2827	933	6790				2243				1809	25825	9507	3096	659			55008					10332	10211
3106	6368	9470	2939				9521	9133	54906	26038	786	833	1477	1717	79053	1893		79174	1028	6310	84661	8763		10916	5709	399687	3007	1387	3836	231	10307	8530	90861	84823			9833				83461	9197		55703	79581	1039	9249		200734		10144	51191	2355	115201		3627		920	2037	7184	3914	56477	348	83464	1646	23529	3491		56259	4609	705	8702	79818	776	2625	652	8626	100133941	6364	6352	29082	55839		1058	8317		8317		60625		23015	55139		29028		960	545	1846	2919	829	23560	947	23080				2244				1842	55971	57188	3207	659			3097					1308	29998
