ACIDOSIS.21672245	ACTIVATEDENDOTHELIUM.23975155	AKT.20335537	ANTIOXIDANT	AR.TNBC.21633166	ASCORE.21422418	BCAT.ONCOGENE.16273092	BETACATENIN.20335537	BMYB.19043454	BRCA1.11823860	BRCA1.UP.16843262 	CCND1.12914697 	CCND1K112E.12914697 	CD44POS.CD24NEG.17229949	CIN70.16921376	CMYB.20949095	CORE.EMT. 20713713	DNADAMAGE.TNBC.21633166	E2F1.20335537	E2F3.ONCOGENE.16273092	EGFR.20335537	EIF4E.UP.17638893 	EMT.MCF10A.18281472  	EMT.TNBC.21633166	ER.20335537	ERBB2.DESMEDT.18698033	ERNEG.RESIST.21558518	ERNEG.SENS.21558518	ERPOS.RESIST.21558518	ERPOS.SENS.21558518	ESC.18397753	ESR1.DESMEDT.18698033	FIBRO.COCULTURE.21625507	FIBRO.SERUM1.14737219	FIBRO.SERUM2.14737219	FOSJUN.21214954	GATA3.15361840 	GENE70.11823860	GEPARSIXTO.ACT.25534375	GEPARSIXTO.SUPP.25534375	GF.TNBC.21633166	GGI.16478745	GLUCOSEDEPLETION.21672245	GYCOLYSIS.19291283	HER1C1.17663798	HER1C2.17663798	HER1C3.17663798	HER2.20335537	HER2AMP.21214954	HGF.24025166	HSP90.20920318	HYPOXIA.21672245	IFNA.20335537	IFNG.20335537	IGF1. 18757322	IMMUNE.ERNEG.17683518	IMMUNE.STAT1.18698033	IMMUNESIG1.TNBC.21633166	IMMUNESIG2.21633166	INVASION.PLAU.18698033	LACTICACIDOSIS.21672245	LKB1.17676035	MAMLIN.LumProg.19648928	MAMLIN.MaSC.19648928	MAMLIN.MatLum.19648928	MAMLIN.STROMAL.19648928	MAPK.16585219	MCF7.DOXRESIST.20935265	MESENCHSTEM.TNBC.21633166	MET.DOWN.23049908	MYC.ONCOGENE.16273092	MYCACT.20335537	MYCSIG.19690609	NEOADJ.RESIST.16896004	P53.20335537	P53MUT.17150101	P53MUT.UP.16199517	P63.20335537	PI3K.20335537	PIK3CA.22552288	PIK3CA.MUT.20479250	PR.20335537	PROLIF.AURKA.18698033	PROLIF.TNBC.21633166	PROLIF.PCNA.22028643	PROLIFERATION.GATZA.21214954	PROLIFERATIONPAM50.19204204	PTENDEL.17452630	RANDOM.GENOME10	RANDOM.GENOME100	RANDOM.GENOME5	RANDOM.GENOME50	RANDOM.GENOME500	RANDOM.SAMPLE10	RANDOM.SAMPLE100	RANDOM.SAMPLE5	RANDOM.SAMPLE50	RANDOM.SAMPLE500	RAS.ACT.20591134	RAS.20335537	RAS.ONCOGENE.16273092	RASERK.ACT.22683778	RBBP8.UP.16843262	RBLOH.18782450	SRC.20335537	SRC.ONCOGENE.16273092	STAT1.19272155	STAT3.20335537	STAT3.15958548	STEM.TNBC.21633166	STEMCELL.15931389	STROMAL.19122658	STROMALDOWN.19648928	STROMALUP.19648928	TGFB.20335537	TGFBETA.18394990	TGFBETA.ACT.19451693	TNBC.TAXANE.20189874	TNFA.20335537	TOP2A.21422418	VEGFHYPOXIA.19291283	WNT.EMT.19549913	WNT.TNBC.21633166	WOUNDRESPONSE.19887484	YAP.UP.18413746
10492									8507	728642	573	492	4137						1969		1545													2791								7517									7701									6391		2152	8538	5010	1001	5205				6843		11171								1501							7786												8554	834		963			5744									56260					8476					150082
3486									2043	51716	27113	525	4256						6194		51164													9601								11313									22845									26099		54855	10538	112616	1040	26053				26118		55357								23259							5154												91608	113263		924			5055									765					5127					8994
6426									2109	1106	673	573	4291						79101		79961																					55709									8943									81614		2260	638	1282	634	29994				1277		8717								79665							51196												10737	23145		1014			23150									859					1058					284023
3486									25827	9629	675	10282	4316						3371		57609																					54968									5036									10213		2274	149428	1284	55636	596				11078										1837							5728												10313	6934		64405			10808									81576					1063					164832
10213									2331	29097	694	663	6421						7776		1793																					79064									471									400506		11259	669	1291	163732	29760				8714										1875							5797												11231	57507		1028			7128									79714					55839					29116
23428									51809	8292	11120	713	6451								57634																					81554									1979									6175		2331	91894	1292	548596	684				22861										55862							6228												6456	150381		51716			9388									1027					1164					4430
2521									2625	58190	814	814	7071								54749																														26003									58477		64838	79703	1296	1366	89927				7127										1968							9252												4093	4067		51363			3667									1144					1284					4999
64747									2697	1521	822	822	7163								54845																														8241									51642		55568	84419	1410	7464	29919				6525										2042							9037												56910	120227		4435			57493									1146					1356					149420
81831									2737	10800	835	856	7465								57700																														10938									28978		26353	284018	116159	51200	84909				493										58516							80031												57465	152485		79789			3667									56548					1633					84720
57103									2239	57105	842	857	8614								355																														4615									9935		3399	56892	1601	92359	794				4804										2263							23111												8577	57509		1240												10370					8560					5546
56475									55890	9265	857	929	9567								64778																														1729									56983		3485	10486	4921	1474	799				5252										55181							50861												23331	4781		1270												9976					55635					5989
									3029	65989	869	939	10279								23150																														10061									80010		3487	92291	27122	6376	841				9064										79884																			23036	1545		167												1282					81624					9028
									23462	100129460	6356	951	10406								2517																														84790									79177		3678	23589	1794	58191	84869				55384										8323																			126068	3187		1472												1525					9787					57030
									3158	1809	901	963	10529								8087																														57050									54968		3708	23624	2113	1594	1070				79026										2743																			284443	9847		1489												2919					51514					9152
									3291	1870	10803	629	10590								7976																														84790									79697		3778	6367	2119	1573	1123				901										2886																			79862	23229		56998												2920					1894					6548
									3485	1946	930	1080	10766								11227																														488									55839		3800	100133941	2139	780	1299				55785										51454																			79894	153572		6376												1571					11082					50837
									3490	57669	6792	57680	10901								2627																														84890									79733		3955	4179	2171	79961	1475				861										55573																				23255		79901												23586					2131					83639
									8821	54932	629	1141	11221								56300																														6047									387263		79836	11135	116496	1717	56603				55143										50810																				54873		66002												1846					2146					79896
									3693	23233	1128	1258	22936								8826																														57470									3842		4094	4680	54463	93099	55827				6303										3012																				9829		4051												1848					54478					7078
									3694	79850	1146	22796	23075								85450																														138151									4869		4128	51816	131583	1824	23586				64780										8969																				9324		23564												26298					26271					128854
									9358	2205	10978	1281	23710								9897																														23067									64710		84953	629	355	1829	55601				6710										3109																				29005		25786												1962					2321					7363
									64147	27006	22796	1359	23764								9903																														5094											4319	57530	152273	1832	10395				22861										8337																				2263		22982												9451					2632					7447
									11275	2254	1359	1369	26137								3840																														161291											9788	10519	2296	1906	1960				9590										8349																				57216		9718												57089					8836					81554
